"Quiet, Clean and Peaceful. Very Nice RENOVATIONS",No address,$1033,https://atlanta.craigslist.org/sat/apa/d/morrow-quiet-clean-and-peaceful-very/7116387303.html
"Stainless Steel Appliances, Clubroom w/ Billiards, Internet Cafe",50 Evergreen Way,$1252,https://atlanta.craigslist.org/wat/apa/d/rex-stainless-steel-appliances-clubroom/7112709953.html
HUGE THREE BEDROOM TOWNHOME ! PERFECT BROOKHAVEN LOCATION,No address,$1998,https://atlanta.craigslist.org/atl/apa/d/atlanta-huge-three-bedroom-townhome/7114748527.html
Beautiful 3 Bedroom/2 Bath in Peachtree Corners,Westchase Village Ln near Elmside Village Ln NW,$1399,https://atlanta.craigslist.org/nat/apa/d/duluth-beautiful-3-bedroom-2-bath-in/7110158289.html
Cozy 3BR / 2 Ba 1382 sqft2 available now @ $1000 Monthly!,1644 Kimble Dr SW,$1000,https://atlanta.craigslist.org/atl/apa/d/marietta-cozy-3br-2-ba-1382-sqft2/7118815866.html
$699 Move-in Special! Current month Rent is Free!,No address,$959,https://atlanta.craigslist.org/atl/apa/d/atlanta-699-move-in-special-current/7118791984.html
Lovely 3 Bedroom Apartment,7120 South Lake Pkwy,$1335,https://atlanta.craigslist.org/sat/apa/d/morrow-lovely-3-bedroom-apartment/7112996975.html
"Roommate Wanted - 3 BR, 2 BA",No address,$550,https://atlanta.craigslist.org/atl/apa/d/avondale-estates-roommate-wanted-3-br-2/7118808643.html
"Black Kitchen Appliances, Business Center, Laundry Facilities",2050 Austell Rd NW,$1123,https://atlanta.craigslist.org/wat/apa/d/marietta-black-kitchen-appliances/7113452078.html
"Private Patio or Balcony, Pet Park, En Suites",3156 Mt Zion Rd,$1321,https://atlanta.craigslist.org/wat/apa/d/stockbridge-private-patio-or-balcony/7109894080.html
Three bedroom WEST MIDTOWN HOT SPOT,No address,$2850,https://atlanta.craigslist.org/atl/apa/d/atlanta-three-bedroom-west-midtown-hot/7118794594.html
Experience the [Windsor Landing] Lifestyle,7120  Southlake Pkwy,$1335,https://atlanta.craigslist.org/sat/apa/d/morrow-experience-the-windsor-landing/7112602667.html
"Handicap accessible, Storage space, Brushed nickel lighting fixtures",100 Legacy Oaks Circle,$1525,https://atlanta.craigslist.org/nat/apa/d/roswell-handicap-accessible-storage/7115405776.html
House in Villa Rica West Atlanta,No address,$1200,https://atlanta.craigslist.org/wat/apa/d/villa-rica-house-in-villa-rica-west/7108444025.html
Weekly newly home,6985 Butner Road,$749,https://atlanta.craigslist.org/atl/apa/d/red-oak-weekly-newly-home/7118775951.html
Beautiful single family home,No address,$850,https://atlanta.craigslist.org/atl/apa/d/riverdale-beautiful-single-family-home/7118772501.html
Beautiful 3 Bedroom/2 Bath in Peachtree Corners,Westchase Village Ln near Elmside Village Ln NW,$1399,https://atlanta.craigslist.org/nat/apa/d/peachtree-corners-beautiful-3-bedroom-2/7110155350.html
This home is one of a kind!,2400 June Springs Dr SW,$800,https://atlanta.craigslist.org/atl/apa/d/marietta-this-home-is-one-of-kind/7118724506.html
Only ONE,No address,$1227,https://atlanta.craigslist.org/sat/apa/d/atlanta-only-one/7104958486.html
"Refrigerator, Alarm System, Elevator",2924 Clairmont Road,$1755,https://atlanta.craigslist.org/atl/apa/d/atlanta-refrigerator-alarm-system/7117590823.html
Welcome Home,2050 Austell Rd NW,$1198,https://atlanta.craigslist.org/wat/apa/d/marietta-welcome-home/7113360750.html
❣️❣️Get Your Application Fees Credited Back With A Signed Lease!,"3288 Apache Ct, Powder Springs, GA near Bullard Road",$900,https://atlanta.craigslist.org/atl/apa/d/powder-springs-get-your-application/7118717054.html
Buckhead - 3-months' free rent,No address,$2850,https://atlanta.craigslist.org/atl/apa/d/atlanta-buckhead-3-months-free-rent/7115264383.html
"Stainless Steel Appliances, Refreshing Swimming Pool, Tile Backsplash",970 Windy Hill Rd SE near Atlanta Rd and Windy Hill,$1365,https://atlanta.craigslist.org/atl/apa/d/smyrna-stainless-steel-appliances/7113145122.html
"Range, Playground, W/d hookup",100 Legacy Oaks Circle,$1525,https://atlanta.craigslist.org/nat/apa/d/roswell-range-playground-d-hookup/7116471654.html
"Wooded views, Newly renovated units available, Plush landscaping",7545 Tara Rd ,$1130,https://atlanta.craigslist.org/sat/apa/d/jonesboro-wooded-views-newly-renovated/7104733156.html
Do not look past this three bedroom in Windsor Landing!,No address,$1335,https://atlanta.craigslist.org/sat/apa/d/morrow-do-not-look-past-this-three/7112739637.html
@@ GREAT LOCATION !! NEW CABINETRY ~ VERY SPACIOUS!!,No address,$542,https://atlanta.craigslist.org/eat/apa/d/dallas-great-location-new-cabinetry/7117176596.html
@@ GREAT LOCATION !! NEW CABINETRY ~ VERY SPACIOUS!!,No address,$534,https://atlanta.craigslist.org/nat/apa/d/dallas-great-location-new-cabinetry/7117176589.html
"Fun in the Sun Playground, Hard Surface Floors, Internet Cafe",50 Evergreen Way,$1235,https://atlanta.craigslist.org/wat/apa/d/rex-fun-in-the-sun-playground-hard/7105813521.html
Incredible Affordable Apartments! It’s Where You Want To Be,701 Mt. Zion Rd near Tara Blvd,$1176,https://atlanta.craigslist.org/sat/apa/d/morrow-incredible-affordable-apartments/7118689239.html
"Separate Dining Area, Linen Closet, Fully Equipped Kitchen",1475 Sand Bay Drive SW,$1333,https://atlanta.craigslist.org/sat/apa/d/atlanta-separate-dining-area-linen/7118698979.html
♛ Keep Calm and Lease On….Take a Tour TODAY!!!,No address,$1655,https://atlanta.craigslist.org/nat/apa/d/roswell-keep-calm-and-lease-ontake-tour/7118696535.html
Bueno Bonito i Barato Amber Grove Su nuevo Hogar!!!!!!,2050 Austell Rd NW,$1154,https://atlanta.craigslist.org/wat/apa/d/marietta-bueno-bonito-barato-amber/7116832028.html
"Spacious Floorplans, Plank- Wood Flooring, Clubhouse",1690 Hwy 20 West,$1666,https://atlanta.craigslist.org/sat/apa/d/mcdonough-spacious-floorplans-plank/7118704130.html
Beautiful 3 Bedrooms Available!,No address,$931,https://atlanta.craigslist.org/atl/apa/d/austell-beautiful-3-bedrooms-available/7118702745.html
Charming 3 Bedroom/2 Bath in Peachtree Corners,Westchase Village Ln near Elmside Village Ln NW,$1399,https://atlanta.craigslist.org/nat/apa/d/peachtree-corners-charming-3-bedroom-2/7110166017.html
New Low Prices!!! Get $500 Off!!!!,2650 Bentley Rd. near Delk Rd,$1229,https://atlanta.craigslist.org/nat/apa/d/marietta-new-low-prices-get-500-off/7118695786.html
FIND YOUR NEW HOME HERE!,2880 N Cobb PKWY,$1400,https://atlanta.craigslist.org/nat/apa/d/kennesaw-find-your-new-home-here/7118699958.html
Visit our luxury 3 bedroom home today!,No address,$1592,https://atlanta.craigslist.org/atl/apa/d/atlanta-visit-our-luxury-3-bedroom-home/7118690728.html
"Fireplace, Crown molding accents, Leash-free dog park",2281 Midway Rd,$1270,https://atlanta.craigslist.org/wat/apa/d/douglasville-fireplace-crown-molding/7117422134.html
"3x Renovated, 2nd Floor, Balcony, Wooded View",No address,$1355,https://atlanta.craigslist.org/nat/apa/d/kennesaw-3x-renovated-2nd-floor-balcony/7118698339.html
"Game Room with Billards Table, Gated Community, GOFetch Dog Park",1500 Ridge Brook Trail,$1514,https://atlanta.craigslist.org/nat/apa/d/duluth-game-room-with-billards-table/7113130704.html
WOOT! This Completely Electric Floor Plan is the Bomb. NO gas bill!,5100 West Mountain Street,$1069,https://atlanta.craigslist.org/eat/apa/d/pine-lake-woot-this-completely-electric/7118696580.html
"Covered Parking, Garage, Private Balcony",2000 Asbury Square,$2020,https://atlanta.craigslist.org/atl/apa/d/atlanta-covered-parking-garage-private/7118696083.html
Private Terrace Level W/ a Wooded View,No address,$1575,https://atlanta.craigslist.org/nat/apa/d/duluth-private-terrace-level-a-wooded/7118695162.html
"✰$100 OFF WHEN YOU LEASE TODAY, AMAAAAZING AMENITIES✰",No address,$1585,https://atlanta.craigslist.org/nat/apa/d/roswell-100-off-when-you-lease-today/7118694880.html
Come Lease At Brookside Today!,No address,$1592,https://atlanta.craigslist.org/atl/apa/d/atlanta-come-lease-at-brookside-today/7118691273.html
APARTMENT FOR REMT,No address,$650,https://atlanta.craigslist.org/atl/apa/d/atlanta-apartment-for-remt/7117284591.html
Love Where You Live. Remarkable Value. Unbeatable Location,No address,$1335,https://atlanta.craigslist.org/sat/apa/d/morrow-love-where-you-live-remarkable/7118692162.html
"Internet Cafe, Large Kitchens, Summer Kitchen",50 Evergreen Way,$1252,https://atlanta.craigslist.org/wat/apa/d/rex-internet-cafe-large-kitchens-summer/7117635931.html
"Lake Views, Pet Park, En Suites",3156 Mt Zion Rd,$1371,https://atlanta.craigslist.org/sat/apa/d/stockbridge-lake-views-pet-park-en/7117650121.html
APARTMENT FOR REMT,No address,$650,https://atlanta.craigslist.org/atl/apa/d/atlanta-apartment-for-remt/7117284761.html
Bueno Bonito i Barato Amber Grove Su nuevo Hogar!,2050 Austell Rd NW,$1154,https://atlanta.craigslist.org/wat/apa/d/marietta-bueno-bonito-barato-amber/7118686310.html
"Beautiful 3 Bedroom, 2 Bathroom Apartments !!!!",10 Glenwood Way near Highway 138/42,$1452,https://atlanta.craigslist.org/sat/apa/d/stockbridge-beautiful-3-bedroom-2/7118685308.html
Apartamentos Remodelados en Amber Grove,2050 Austell Rd NW,$1198,https://atlanta.craigslist.org/wat/apa/d/marietta-apartamentos-remodelados-en/7112239924.html
"Incredible Business Center, Breakfast bars, Granite countertops",1400 Briarcliff Rd near Decatur,$2796,https://atlanta.craigslist.org/atl/apa/d/atlanta-incredible-business-center/7118684138.html
"Picnic & barbeque areas, Kitchen entertainment bar, Bright sunrooms",Chroma Park,$1325,https://atlanta.craigslist.org/atl/apa/d/austell-picnic-barbeque-areas-kitchen/7117580060.html
ANNND ANOTHER ONE !!,No address,$1227,https://atlanta.craigslist.org/sat/apa/d/atlanta-annnd-another-one/7106254919.html
Experience the [Windsor Landing] Lifestyle.,No address,$1035,https://atlanta.craigslist.org/sat/apa/d/morrow-experience-the-windsor-landing/7115409255.html
"Community Dog Park, Emergency Maintenance Service, Spin Studio",1475 Sand Bay Drive SW,$1395,https://atlanta.craigslist.org/sat/apa/d/atlanta-community-dog-park-emergency/7118662918.html
"Special 300.00 off move in, Newly Renovated Units, Swimming Pool, Gym",250 Evergreen Terrace,$1325,https://atlanta.craigslist.org/sat/apa/d/rex-special-off-move-in-newly-renovated/7118677434.html
The Park at Greenbriar,No address,$870,https://atlanta.craigslist.org/atl/apa/d/atlanta-the-park-at-greenbriar/7118640491.html
"Private patio, 9' ceilings with crown molding, Laundry room",100 Legacy Oaks Circle,$1525,https://atlanta.craigslist.org/nat/apa/d/roswell-private-patio-9-ceilings-with/7118626408.html
"2nd floor top, Washer and Dryer Hookups, Ceiling Fan",88 Barrington Oaks Ridge near Marietta HWY,$1494,https://atlanta.craigslist.org/nat/apa/d/roswell-2nd-floor-top-washer-and-dryer/7111098996.html
"Valet living waste removal service, Fitness center, Laundry facilities",2560 Delk Rd SE ,$1140,https://atlanta.craigslist.org/wat/apa/d/kennesaw-valet-living-waste-removal/7118668130.html
CREW HOUSING ATL,No address,$500,https://atlanta.craigslist.org/atl/apa/d/lithonia-crew-housing-atl/7118654552.html
Sierra Terrace,3547 Buford Hwy NE,$1490,https://atlanta.craigslist.org/atl/apa/d/atlanta-sierra-terrace/7108244626.html
Sierra Terrace,3547 Buford Hwy NE,$1490,https://atlanta.craigslist.org/atl/apa/d/atlanta-sierra-terrace/7105877562.html
"Wood burning fireplaces, Executive business center, Playground area",Chroma Park,$1370,https://atlanta.craigslist.org/atl/apa/d/austell-wood-burning-fireplaces/7116494822.html
"Washer and Dryer Connections, Playground, Off-Street Resident Parking",300 Hurt Road Southeast,$1161,https://atlanta.craigslist.org/nat/apa/d/smyrna-washer-and-dryer-connections/7118635965.html
"Modern, fully equipped 3 BDR in a great neighborhood!","22 Forest Circle,",$1270,https://atlanta.craigslist.org/sat/apa/d/newnan-modern-fully-equipped-3-bdr-in/7118658162.html
"Come see our cozy 3bed 2bath, pool & pet friendly w hwy access!!!",No address,$1355,https://atlanta.craigslist.org/sat/apa/d/jonesboro-come-see-our-cozy-3bed-2bath/7112899605.html
"Gas Heat, Ice Maker, Ask Us About Our Smart Choice Bundle Package",2255 Satellite Blvd,$1372,https://atlanta.craigslist.org/wat/apa/d/duluth-gas-heat-ice-maker-ask-us-about/7105515810.html
"Come see our cozy 3bed 2bath, pool & pet friendly w hwy access!!!",No address,$1355,https://atlanta.craigslist.org/sat/apa/d/jonesboro-come-see-our-cozy-3bed-2bath/7110121311.html
Pre-Lease Your New Place! 3 Bedrooms Available!,No address,$1216,https://atlanta.craigslist.org/sat/apa/d/riverdale-pre-lease-your-new-place-3/7109582964.html
3 BED 2 BATH,2500 PLEASANT HILL RD near STEVE REYNOLDS,$1423,https://atlanta.craigslist.org/nat/apa/d/duluth-3-bed-2-bath/7118645507.html
APPLY WITH NICOLE TODAY TO MAKE BROOKS CROSSING YOUR NEXT HOME!!!,No address,$1216,https://atlanta.craigslist.org/sat/apa/d/riverdale-apply-with-nicole-today-to/7109790556.html
LET BROOKS CROSSING BE YOUR NEW HOME! CALL NICOLE TODAY,No address,$1216,https://atlanta.craigslist.org/sat/apa/d/riverdale-let-brooks-crossing-be-your/7109315410.html
Amenities you deserve & lease rates you’ll love! Call Today!!!,8050 Taylor Rd,$1216,https://atlanta.craigslist.org/sat/apa/d/riverdale-amenities-you-deserve-lease/7105466475.html
Live at the Center of Modern Conveniences & Entertainment.,"6136 Hillandale drive Lithonia, Georgia",$1340,https://atlanta.craigslist.org/eat/apa/d/lithonia-live-at-the-center-of-modern/7111727485.html
Bright and Airy Floor Plan. Floor to ceiling windows,185 Cliftwood DR NE near Roswell RD,$2315,https://atlanta.craigslist.org/nat/apa/d/atlanta-bright-and-airy-floor-plan/7118642591.html
"Package Receiving, Laundry Facilities, Tennis Court",7124 Southlake Parkway,$1335,https://atlanta.craigslist.org/sat/apa/d/morrow-package-receiving-laundry/7116033227.html
"Patio, Views, Playground",3450 Evans Rd,$1550,https://atlanta.craigslist.org/wat/apa/d/atlanta-patio-views-playground/7116477545.html
*Pet_Friendly* Amazing 3Br/2Ba Spacious House Avail @@@Rent2Own@@@,No address,$512,https://atlanta.craigslist.org/atl/apa/d/smyrna-petfriendly-amazing-3br-2ba/7118561330.html
RENOVATION! GREAT AMENITIES! GREAT LOCATION! AMAZING APARTMENT UNITS!,No address,$1035,https://atlanta.craigslist.org/sat/apa/d/morrow-renovation-great-amenities-great/7114906123.html
DO YOU NEED A FRESH START?!!!,"6136 Hillandale drive Lithonia, Georgia",$1380,https://atlanta.craigslist.org/eat/apa/d/lithonia-do-you-need-fresh-start/7116878666.html
Come Join our Community!!!!,10 Creste Dr.,$1199,https://atlanta.craigslist.org/eat/apa/d/decatur-come-join-our-community/7117052381.html
Elite X- Ing,10 Creste Dr.,$1199,https://atlanta.craigslist.org/eat/apa/d/decatur-elite-ing/7117054674.html
Get Ready To Move!!!!,10 Creste Dr.,$1199,https://atlanta.craigslist.org/eat/apa/d/decatur-get-ready-to-move/7117055754.html
Elite X- Ing,10 Creste Dr.,$1199,https://atlanta.craigslist.org/eat/apa/d/decatur-elite-ing/7117071392.html
Elite X- Ing,10 Creste Dr.,$1060,https://atlanta.craigslist.org/eat/apa/d/decatur-elite-ing/7117078635.html
Gotta See It To Believe It!!!,10 Creste Dr.,$1199,https://atlanta.craigslist.org/eat/apa/d/decatur-gotta-see-it-to-believe-it/7117079456.html
"State-of-the-art fitness center, Washer/dryer connections, Playground",305 St. Ives Crossing ,$1365,https://atlanta.craigslist.org/wat/apa/d/stockbridge-state-of-the-art-fitness/7118635259.html
"Visit Your New Home, Pet Friendly, Vaulted Ceilings",1 Rocky Ridge Blvd,$1379,https://atlanta.craigslist.org/wat/apa/d/douglasville-visit-your-new-home-pet/7118624866.html
"WARM UP with Fall Deals in Roswell, GA at Aspen Pointe",1300 Gran Crique Parkway,$1275,https://atlanta.craigslist.org/nat/apa/d/roswell-warm-up-with-fall-deals-in/7118633492.html
IN THE HEART OF LITHONIA!!,"6136 Hillandale drive Lithonia, Georgia",$1380,https://atlanta.craigslist.org/eat/apa/d/lithonia-in-the-heart-of-lithonia/7116893530.html
Apartamentos Remodelados en Amber Grove,2050 Austell Rd NW,$1154,https://atlanta.craigslist.org/wat/apa/d/marietta-apartamentos-remodelados-en/7115188611.html
"Modern Conveniences & Entertainment, All Within Your Reach.","6136 Hillandale drive Lithonia, Georgia",$1380,https://atlanta.craigslist.org/eat/apa/d/lithonia-modern-conveniences/7116856070.html
House for Rent,375 Summerwood Drive near Hearn Road,$1225,https://atlanta.craigslist.org/sat/apa/d/ellenwood-house-for-rent/7118629187.html
Incredible Affordable Apartments! It’s Where You Want To Be,701 Mt. Zion Rd near Tara Blvd,$1176,https://atlanta.craigslist.org/sat/apa/d/morrow-incredible-affordable-apartments/7118596693.html
Feel Right At Home In Your New & Spacious 3BR - Call For a Zoom Tour!!,50 Estuary Trail,$1530,https://atlanta.craigslist.org/nat/apa/d/alpharetta-feel-right-at-home-in-your/7118613946.html
"State-of-the-Art Fitness Center, Community Dog Park, Ceiling Fans",1475 Sand Bay Drive SW,$1269,https://atlanta.craigslist.org/sat/apa/d/atlanta-state-of-the-art-fitness-center/7115326406.html
"Cyber Cafe, Tennis Courts, Refrigerator",400 Winchester Trail SE,$1399,https://atlanta.craigslist.org/atl/apa/d/smyrna-cyber-cafe-tennis-courts/7118624705.html
"Breakfast Bars, Beautiful Wooded Grounds, Fitness Center",4801 Baker Grove Rd,$1382,https://atlanta.craigslist.org/atl/apa/d/acworth-breakfast-bars-beautiful-wooded/7105194897.html
Discover Windsor Landing Apartment Living!,No address,$1033,https://atlanta.craigslist.org/sat/apa/d/morrow-discover-windsor-landing/7116564333.html
COMING AVAILABLE NEXT WEEK!!,No address,$1700,https://atlanta.craigslist.org/atl/apa/d/atlanta-coming-available-next-week/7118615767.html
Landmark Living on The Avenue.,"6136 Hillandale drive Lithonia, Georgia",$1380,https://atlanta.craigslist.org/eat/apa/d/lithonia-landmark-living-on-the-avenue/7116845833.html
*Pet_Friendly* Amazing 3Br/2Ba Spacious House Avail @@@Rent2Own@@@,No address,$512,https://atlanta.craigslist.org/atl/apa/d/smyrna-petfriendly-amazing-3br-2ba/7118561317.html
Amazing Three Bedroom Available,No address,$931,https://atlanta.craigslist.org/atl/apa/d/austell-amazing-three-bedroom-available/7118611907.html
"State-of-the-Art Fitness Center, Balcony, Accepts Credit Card Payments",400 Winchester Trail SE,$1375,https://atlanta.craigslist.org/atl/apa/d/smyrna-state-of-the-art-fitness-center/7117573333.html
"Playground, Lighted Tennis Court, Clubhouse",1000 Preston Glen Circle,$1141,https://atlanta.craigslist.org/wat/apa/d/holly-springs-playground-lighted-tennis/7108579803.html
Peace & Serenity Can Be Yours In Our 3 Bedroom Apartment Home!,No address,$1827,https://atlanta.craigslist.org/nat/apa/d/canton-peace-serenity-can-be-yours-in/7118598880.html
*Pet_Friendly* Amazing 3Br/2Ba Spacious House Avail @@@Rent2Own@@@,No address,$512,https://atlanta.craigslist.org/atl/apa/d/smyrna-petfriendly-amazing-3br-2ba/7118561336.html
Amenities what your Deserve,"6136 Hillandale drive Lithonia, Georgia",$1380,https://atlanta.craigslist.org/eat/apa/d/lithonia-amenities-what-your-deserve/7117491069.html
Come find your new everyday!,No address,$1390,https://atlanta.craigslist.org/nat/apa/d/cumming-come-find-your-new-everyday/7118597352.html
Growing today for a better tomorrow!,No address,$1033,https://atlanta.craigslist.org/sat/apa/d/morrow-growing-today-for-better-tomorrow/7116529461.html
Spacious Renovated 3 Bedroom $1170,2050 Austell Rd NW,$1170,https://atlanta.craigslist.org/wat/apa/d/marietta-spacious-renovated-3-bedroom/7117545587.html
House with a Big Yard and Garage,No address,$850,https://atlanta.craigslist.org/nat/apa/d/marietta-house-with-big-yard-and-garage/7118585258.html
Landmark Living on The Avenue.,"6136 Hillandale drive Lithonia, Georgia",$1380,https://atlanta.craigslist.org/eat/apa/d/lithonia-landmark-living-on-the-avenue/7115847560.html
